business_id,business_name,business_time
040O0204,旅客处理按钮,2024-04-01 05:10:41.988
040O0204,旅客处理按钮,2024-04-01 05:10:42.892
040O0204,旅客处理按钮,2024-04-01 05:10:56.978
040O0204,旅客处理按钮,2024-04-01 05:10:57.330
nav,,2024-04-01 05:11:12.567
042E0121,从其他页面返回检索页刷新,2024-04-01 05:11:54.052
042E0117,旅客检索清空按钮,2024-04-01 05:11:54.466
042E0115,旅客提取页签检索按钮,2024-04-01 05:11:56.698
042E0115,旅客提取页签检索按钮,2024-04-01 05:11:59.736
042E0118,序号输入框选中旅客,2024-04-01 05:12:01.080
040O0200,值机页面加载,2024-04-01 05:12:01.872
040O0211,点击座位图刷新,2024-04-01 05:12:02.280
040O0290,行李合并计重按钮,2024-04-01 05:12:11.043
040R0301,合并计重-合并按钮,2024-04-01 05:12:12.575
01010915,关闭所有页面,2024-04-01 05:12:14.736
042E0117,旅客检索清空按钮,2024-04-01 05:12:15.314
042E0117,旅客检索清空按钮,2024-04-01 05:12:15.599
042E0117,旅客检索清空按钮,2024-04-01 05:12:15.856
042E0115,旅客提取页签检索按钮,2024-04-01 05:12:18.094
042E0112,列表切换旅客,2024-04-01 05:12:19.645
040O0200,值机页面加载,2024-04-01 05:12:20.785
040O0211,点击座位图刷新,2024-04-01 05:12:21.178
040O0204,旅客处理按钮,2024-04-01 05:12:23.811
01010915,关闭所有页面,2024-04-01 05:13:14.867
042E0115,旅客提取页签检索按钮,2024-04-01 05:13:16.298
042E0141,客票详情按钮,2024-04-01 05:13:25.019
042E0121,从其他页面返回检索页刷新,2024-04-01 05:13:29.262
040O0200,值机页面加载,2024-04-01 05:13:43.931
040O0211,点击座位图刷新,2024-04-01 05:13:44.507
040O0204,旅客处理按钮,2024-04-01 05:14:02.523
040O0204,旅客处理按钮,2024-04-01 05:14:02.834
040O0270,旅客详情按钮,2024-04-01 05:14:27.052
042E0121,从其他页面返回检索页刷新,2024-04-01 05:14:29.801
042E0117,旅客检索清空按钮,2024-04-01 05:14:30.137
042E0117,旅客检索清空按钮,2024-04-01 05:14:30.475
042E0117,旅客检索清空按钮,2024-04-01 05:14:30.713
042E0115,旅客提取页签检索按钮,2024-04-01 05:14:38.930
040O0200,值机页面加载,2024-04-01 05:14:40.744
040O0211,点击座位图刷新,2024-04-01 05:14:41.244
040O0204,旅客处理按钮,2024-04-01 05:14:43.725
042E0121,从其他页面返回检索页刷新,2024-04-01 05:14:45.633
042E0117,旅客检索清空按钮,2024-04-01 05:14:46.219
042E0117,旅客检索清空按钮,2024-04-01 05:14:57.866
042E0117,旅客检索清空按钮,2024-04-01 05:14:58.538
042E0117,旅客检索清空按钮,2024-04-01 05:14:58.810
042E0115,旅客提取页签检索按钮,2024-04-01 05:15:03.847
042E0112,列表切换旅客,2024-04-01 05:15:05.988
